applicant_id,age,vehicle_age,prior_claims,accidents,violations,credit_tier,zip_risk,coverage_limit,deductible,risk_score,underwriting_decision,premium_recommendation
1,56,1,0,1,0,Excellent,Medium,25000,500,36.5,Approve,682.5
2,69,12,3,2,1,Poor,Low,25000,2000,100.0,Reject,250.0
3,46,10,3,0,3,Excellent,Low,100000,250,79.0,Refer to Underwriter,7160.0
4,32,10,4,2,2,Good,Medium,25000,500,100.0,Reject,1000.0
5,60,15,2,1,2,Fair,Low,50000,500,98.5,Reject,1985.0
6,25,10,1,0,2,Poor,Medium,250000,250,86.0,Reject,18600.0
7,38,18,2,0,3,Good,Low,250000,2000,86.0,Reject,2325.0
8,56,14,5,1,4,Poor,Medium,25000,2000,100.0,Reject,250.0
9,36,15,5,1,4,Excellent,High,25000,500,100.0,Reject,1000.0
10,40,10,1,1,1,Fair,Medium,25000,500,83.0,Refer to Underwriter,915.0
11,28,15,4,1,4,Excellent,Medium,100000,2000,100.0,Reject,1000.0
12,28,7,1,1,4,Fair,High,250000,2000,100.0,Reject,2500.0
13,41,3,3,0,2,Poor,Low,25000,1000,85.5,Reject,463.75
14,70,7,5,1,2,Poor,High,50000,500,100.0,Reject,2000.0
15,53,3,0,0,1,Excellent,Medium,25000,500,32.5,Approve,662.5
16,57,2,0,0,0,Fair,Low,250000,250,28.0,Approve,12800.0
17,41,2,4,1,1,Fair,High,25000,1000,100.0,Reject,500.0
18,20,17,3,1,1,Poor,Low,250000,2000,100.0,Reject,2500.0
19,39,18,2,3,3,Excellent,Low,25000,1000,100.0,Reject,500.0
20,70,18,3,0,3,Fair,High,50000,2000,100.0,Reject,500.0
21,19,4,0,1,1,Poor,Low,25000,2000,64.0,Approve with Adjusted Premium,205.0
22,41,17,0,1,1,Good,High,50000,1000,88.5,Reject,942.5
23,61,9,5,1,1,Excellent,Medium,50000,500,100.0,Reject,2000.0
24,47,5,3,3,4,Good,Low,25000,2000,100.0,Reject,250.0
25,55,0,3,3,3,Excellent,Medium,50000,1000,100.0,Reject,1000.0
26,19,4,0,2,1,Poor,Medium,100000,250,89.0,Reject,7560.0
27,38,8,2,0,2,Fair,Low,25000,1000,73.0,Refer to Underwriter,432.5
28,50,11,4,2,2,Fair,High,25000,250,100.0,Reject,2000.0
29,29,13,4,1,4,Fair,Low,50000,2000,100.0,Reject,500.0
30,39,1,3,3,4,Excellent,Medium,50000,1000,100.0,Reject,1000.0
31,61,16,4,3,0,Poor,Medium,25000,1000,100.0,Reject,500.0
32,42,13,0,2,0,Good,High,100000,250,89.5,Reject,7580.0
33,66,12,0,3,0,Poor,Low,50000,1000,98.0,Reject,990.0
34,44,8,3,1,4,Good,Medium,50000,1000,100.0,Reject,1000.0
35,59,14,3,3,4,Excellent,Medium,250000,2000,100.0,Reject,2500.0
36,45,14,5,2,4,Excellent,Medium,100000,1000,100.0,Reject,2000.0
37,33,10,3,1,2,Good,High,100000,500,100.0,Reject,4000.0
38,32,15,2,2,4,Good,Medium,25000,250,100.0,Reject,2000.0
39,64,16,4,3,2,Good,Medium,100000,1000,100.0,Reject,2000.0
40,68,3,3,2,0,Poor,Low,25000,250,99.5,Reject,1995.0
41,61,0,1,2,0,Good,Low,250000,250,55.0,Approve with Adjusted Premium,15500.0
42,72,7,5,0,0,Excellent,Medium,100000,250,80.5,Refer to Underwriter,7220.0
43,69,16,1,3,1,Excellent,Medium,50000,1000,100.0,Reject,1000.0
44,74,2,0,3,1,Fair,Low,250000,1000,81.0,Refer to Underwriter,4525.0
45,20,19,4,2,3,Good,High,25000,250,100.0,Reject,2000.0
46,54,14,3,0,3,Poor,High,250000,500,100.0,Reject,10000.0
47,68,14,1,3,3,Poor,High,25000,250,100.0,Reject,2000.0
48,24,13,4,1,1,Poor,High,250000,500,100.0,Reject,10000.0
49,38,13,0,2,1,Fair,High,25000,250,100.0,Reject,2000.0
50,26,1,2,3,3,Excellent,High,100000,2000,100.0,Reject,1000.0
51,56,12,5,1,3,Poor,High,50000,250,100.0,Reject,4000.0
52,35,13,4,3,4,Excellent,High,25000,250,100.0,Reject,2000.0
53,21,18,4,1,3,Fair,Low,250000,1000,100.0,Reject,5000.0
54,42,6,2,2,4,Good,High,25000,500,100.0,Reject,1000.0
55,31,2,4,3,2,Good,High,25000,2000,100.0,Reject,250.0
56,67,14,0,3,1,Good,High,25000,500,100.0,Reject,1000.0
57,26,13,0,0,3,Poor,Medium,250000,2000,88.5,Reject,2356.25
58,43,10,2,2,1,Good,Low,50000,250,88.0,Reject,3760.0
59,70,14,5,1,1,Poor,Low,100000,1000,100.0,Reject,2000.0
60,19,12,3,3,1,Fair,Low,50000,1000,100.0,Reject,1000.0
61,37,17,1,3,2,Fair,High,25000,500,100.0,Reject,1000.0
62,45,5,3,1,0,Poor,High,250000,1000,100.0,Reject,5000.0
63,64,2,4,2,3,Excellent,Medium,50000,500,100.0,Reject,2000.0
64,24,18,1,0,0,Good,Low,25000,500,52.0,Approve with Adjusted Premium,760.0
65,61,14,2,0,0,Good,High,100000,2000,81.0,Refer to Underwriter,905.0
66,25,4,2,3,0,Good,Low,100000,500,86.0,Reject,3720.0
67,64,9,5,1,1,Poor,Medium,100000,2000,100.0,Reject,1000.0
68,52,6,1,3,4,Fair,Medium,25000,1000,100.0,Reject,500.0
69,31,16,0,1,1,Good,Medium,250000,500,72.0,Refer to Underwriter,8600.0
70,34,6,1,0,1,Fair,Low,50000,500,52.0,Approve with Adjusted Premium,1520.0
71,53,11,4,2,0,Good,High,100000,250,100.0,Reject,8000.0
72,67,16,0,1,1,Good,High,25000,500,87.0,Reject,935.0
73,57,12,2,0,0,Poor,Medium,25000,500,83.0,Refer to Underwriter,915.0
74,21,19,1,3,4,Excellent,High,50000,250,100.0,Reject,4000.0
75,19,3,3,1,3,Poor,Medium,100000,250,100.0,Reject,8000.0
76,23,9,5,2,0,Good,Low,25000,1000,100.0,Reject,500.0
77,71,2,3,3,4,Good,Medium,50000,500,100.0,Reject,2000.0
78,59,8,5,3,3,Excellent,Low,250000,1000,100.0,Reject,5000.0
79,21,12,4,0,2,Fair,Medium,250000,1000,100.0,Reject,5000.0
80,71,17,3,1,0,Fair,High,250000,250,100.0,Reject,20000.0
81,46,14,1,3,0,Good,High,100000,2000,100.0,Reject,1000.0
82,35,3,1,2,2,Fair,Medium,50000,1000,95.5,Reject,977.5
83,43,14,3,1,2,Good,High,50000,2000,100.0,Reject,500.0
84,61,1,1,2,0,Excellent,High,25000,500,76.5,Refer to Underwriter,882.5
85,51,14,4,3,2,Excellent,High,25000,250,100.0,Reject,2000.0
86,27,7,0,2,1,Good,Low,25000,500,63.5,Approve with Adjusted Premium,817.5
87,53,7,4,0,3,Excellent,High,50000,500,100.0,Reject,2000.0
88,31,16,5,2,3,Poor,Low,25000,250,100.0,Reject,2000.0
89,48,11,4,1,3,Poor,Medium,50000,500,100.0,Reject,2000.0
90,65,18,5,2,1,Excellent,High,50000,250,100.0,Reject,4000.0
91,32,9,1,2,2,Good,High,250000,2000,100.0,Reject,2500.0
92,25,8,0,0,4,Good,High,25000,500,84.0,Refer to Underwriter,920.0
93,31,4,1,2,2,Excellent,Medium,250000,250,82.0,Refer to Underwriter,18200.0
94,40,5,2,2,0,Fair,Low,100000,1000,82.5,Refer to Underwriter,1825.0
95,74,19,1,3,3,Poor,Low,100000,500,100.0,Reject,4000.0
96,57,1,5,3,2,Fair,High,100000,2000,100.0,Reject,1000.0
97,38,12,1,1,4,Good,Medium,50000,250,100.0,Reject,4000.0
98,33,5,1,3,0,Good,Medium,50000,500,87.5,Reject,1875.0
99,62,4,0,3,1,Fair,Medium,50000,500,94.0,Reject,1940.0
100,35,0,1,3,1,Excellent,Medium,25000,500,83.0,Refer to Underwriter,915.0
101,64,5,0,3,4,Fair,Medium,250000,2000,100.0,Reject,2500.0
102,70,5,3,0,0,Fair,Low,50000,250,62.5,Approve with Adjusted Premium,3250.0
103,41,15,2,3,3,Poor,Low,250000,1000,100.0,Reject,5000.0
104,43,3,0,0,2,Poor,Low,250000,1000,55.5,Approve with Adjusted Premium,3887.5
